,0
0,30239
1,140846
2,67469
3,179887
4,153147
5,78416
6,80551
7,115387
8,24997
9,163116
10,20621
11,94672
12,68787
13,28902
14,67576
15,163120
16,145699
17,116498
18,20246
19,176319
20,29233
21,85310
22,144
23,52042
24,81181
25,24619
26,87130
27,68077
28,80609
29,128097
30,215025
31,115678
32,80428
33,26927
34,81380
35,80735
36,117483
37,26929
38,30218
39,20492
40,36071
41,84337
42,80586
43,20202
44,84245
45,68552
46,20772
47,172
48,112245
49,117481
50,22908
51,52031
52,89832
53,81371
54,103196
55,67565
56,27086
57,20245
58,190161
59,102537
60,67851
61,81188
62,29677
63,96742
64,74440
65,28297
66,68553
67,87117
68,127813
69,110008
70,759
71,74439
72,24125
73,75520
74,25943
75,68730
76,81054
77,31834
78,81296
79,39759
80,123005
81,68298
82,116502
83,110668
84,81993
85,262
86,81184
87,29676
88,83533
89,36100
90,51499
91,27070
92,80755
93,21441
94,26917
95,67720
96,80639
97,41108
98,124246
99,81982
100,197980
101,80847
102,39158
103,63799
104,115385
105,81992
106,28421
107,164206
108,80776
109,88318
110,119461
111,20321
112,82420
113,57261
114,26922
115,88664
116,68538
117,115516
118,100012
119,84109
120,68470
121,84268
122,114448
123,56936
124,70177
125,86048
126,52258
127,63829
128,84719
129,115356
130,70176
131,63177
132,21661
133,81043
134,22131
135,22109
136,103606
137,32398
138,84655
139,339
140,81049
141,103125
142,31077
143,68007
144,123330
145,105605
146,85330
147,170919
148,241692
149,157843
150,189400
151,80612
152,129972
153,155529
154,83074
155,29959
156,97499
157,145315
158,105381
159,70221
160,242472
161,226527
162,80429
163,20757
164,26789
165,103116
166,178212
167,30387
168,20915
169,89800
170,122733
171,86337
172,212286
173,136030
174,160824
175,98602
176,24232
177,330
178,32512
179,69958
180,82410
181,110666
182,21983
183,20677
184,63800
185,140842
186,63774
187,40312
188,67595
189,108323
190,85771
191,80440
192,40187
193,103376
194,70847
195,176042
196,93020
197,117484
198,124487
199,112538
200,104328
201,75438
202,80434
203,80725
204,35886
205,170979
206,22373
207,97281
208,137704
209,83469
210,165077
211,28850
212,167814
213,85527
214,24747
215,68186
216,103103
217,175074
218,165751
219,68781
220,37752
221,20289
222,423
223,86044
224,79470
225,81995
226,40319
227,146101
228,143
229,225724
230,98066
231,83243
232,20708
233,20782
234,101493
235,55826
236,52669
237,24199
238,79526
239,158058
240,115384
241,20720
242,173857
243,463
244,105384
245,68084
246,151312
247,80809
248,70085
249,67542
250,48314
251,138412
252,159109
253,101308
254,103412
255,157686
256,21096
257,20710
258,70083
259,81994
260,26069
261,215098
262,178203
263,163565
264,22412
265,29691
266,200237
267,25681
268,30876
269,117284
270,99786
271,200829
272,115481
273,92994
274,21705
275,140419
276,86691
277,20788
278,168027
279,20344
280,56947
281,123892
282,149708
283,179096
284,40320
285,115313
286,28154
287,68521
288,790
289,184724
290,195636
291,81603
292,78869
293,108665
294,84703
295,40237
296,215265
297,80823
298,30200
299,57259
300,20570
301,162949
302,94387
303,482
304,89737
305,25004
306,159153
307,68729
308,69256
309,40516
310,81991
311,81056
312,89813
313,175933
314,95757
315,21994
316,24937
317,20390
318,29234
319,26216
320,40262
321,207287
322,24254
323,20210
324,67975
325,111937
326,396
327,123333
328,123339
329,159689
330,201065
331,26184
332,208307
333,80614
334,21427
335,67880
336,193276
337,24623
338,84630
339,346
340,164401
341,108611
342,20568
343,68601
344,662
345,20181
346,67581
347,98285
348,34777
349,41157
350,163361
351,59660
352,21799
353,22259
354,21231
355,21694
356,193226
357,153589
358,21951
359,115388
360,89254
361,115465
362,40382
363,100616
364,22486
365,178235
366,141226
367,193417
368,20995
369,187311
370,155628
371,80802
372,154838
373,433
374,123329
375,166760
376,58451
377,28849
378,165058
379,24195
380,82622
381,109621
382,123338
383,146626
384,81047
385,115060
386,122431
387,40172
388,115377
389,119894
390,322
391,299
392,68792
393,104807
394,84264
395,73533
396,164528
397,208379
398,26209
399,57348
400,28207
401,64095
402,115362
