,0
0,105
1,108
2,20194
3,20196
4,20570
5,20769
6,20774
7,21410
8,21583
9,22661
10,22672
11,22727
12,22738
13,22782
14,22793
15,22846
16,23114
17,23146
18,26290
19,26293
20,28200
21,28303
22,29756
23,30389
24,31340
25,31645
26,31654
27,31696
28,34609
29,36937
30,38540
31,43247
32,44047
33,44696
34,48994
35,54992
36,59039
37,59041
38,60610
39,63132
40,63133
41,65505
42,67522
43,69602
44,70415
45,72515
46,78237
47,78927
48,80466
49,80617
50,80642
51,80823
52,81055
53,81057
54,81976
55,83241
56,84777
57,86205
58,87066
59,90665
60,94159
61,95314
62,101684
63,101809
64,101854
65,101902
66,102015
67,102183
68,105467
69,105809
70,107184
71,108071
72,108407
73,108409
74,108416
75,108421
76,108422
77,108436
78,108439
79,108442
80,110091
81,112222
82,116361
83,124591
84,129079
85,135158
86,138363
87,143205
88,146373
89,151785
90,151818
91,151963
92,151965
93,151970
94,158401
95,158539
96,159850
97,160759
98,163396
99,164180
100,164404
101,164420
102,164455
103,164463
104,165315
105,165935
106,166088
107,166183
108,166210
109,166838
110,168386
111,168410
112,168455
113,168456
114,168523
115,169449
116,170091
117,172269
118,172720
119,175102
120,175907
121,176032
122,176293
123,176298
124,176861
125,176901
126,177818
127,178200
128,178708
129,178889
130,180065
131,180665
132,180780
133,180818
134,180998
135,181293
136,181389
137,181398
138,181407
139,183387
140,183702
141,183889
142,183945
143,187447
144,188541
145,188935
146,189348
147,192731
148,192734
149,192797
150,192839
151,192897
152,192904
153,192953
154,192973
155,192990
156,192997
157,193041
158,193047
159,193050
160,193061
161,193122
162,193259
163,193271
164,193294
165,193348
166,193372
167,193399
168,193400
169,193458
170,193778
171,193844
172,193849
173,193861
174,193871
175,199990
176,201067
177,201270
178,207669
179,208024
180,211230
181,213700
182,214284
183,215220
184,215904
185,218453
186,218471
187,218472
188,222298
189,222359
190,222405
191,222409
192,222426
193,222448
194,222456
195,222531
196,225376
197,227705
198,231299
199,240050
200,241049
201,141
202,143
203,155
204,311
205,409
206,588
207,617
208,621
209,631
210,639
211,666
212,676
213,677
214,679
215,731
216,733
217,20200
218,20207
219,20212
220,20213
221,20214
222,20253
223,20283
224,20321
225,20376
226,20492
227,20549
228,20656
229,20686
230,20687
231,20714
232,20715
233,20720
234,20738
235,20746
236,20820
237,20826
238,20829
239,20852
240,20865
241,20937
242,20939
243,20942
244,20953
245,20975
246,20995
247,21005
248,21036
249,21050
250,21077
251,21088
252,21092
253,21093
254,21096
255,21098
256,21104
257,21114
258,21133
259,21144
260,21155
261,21166
262,21177
263,21187
264,21220
265,21231
266,22610
267,23183
268,24135
269,24187
270,24192
271,24207
272,24245
273,24331
274,24501
275,24502
276,24508
277,24511
278,24522
279,24523
280,24525
281,24540
282,24543
283,24552
284,24734
285,24740
286,24745
287,24984
288,24985
289,25031
290,25035
291,25037
292,25039
293,25145
294,25215
295,25535
296,25704
297,25710
298,25712
299,25713
300,25716
301,25720
302,25725
303,25809
304,26094
305,26123
306,26139
307,26159
308,26167
309,26169
310,26204
311,26221
312,26330
313,26373
314,26484
315,26508
316,26798
317,26882
318,26892
319,26897
320,26917
321,26918
322,26922
323,26948
324,26953
325,26956
326,27052
327,27144
328,27164
329,27170
330,28297
331,28421
332,28483
333,28794
334,28802
335,28902
336,28908
337,28941
338,29378
339,29448
340,29467
341,29620
342,29670
343,29677
344,29679
345,29723
346,29727
347,29734
348,29832
349,30105
350,30190
351,30200
352,30217
353,30218
354,30237
355,30276
356,30387
357,30446
358,30460
359,30631
360,30750
361,31076
362,31077
363,31159
364,31337
365,31483
366,31507
367,31519
368,31596
369,31642
370,31649
371,31834
372,32315
373,32398
374,33093
375,33286
376,33559
377,33617
378,33767
379,33965
380,33968
381,34139
382,34236
383,34771
384,35202
385,36100
386,36466
387,36806
388,36876
389,37245
390,38250
391,38938
392,39135
393,39141
394,39436
395,39480
396,39485
397,39488
398,39787
399,39940
400,40092
401,40100
402,40181
403,40195
404,40206
405,40310
406,40325
407,40351
408,40417
409,40553
410,41108
411,41248
412,42070
413,42358
414,42365
415,42403
416,42518
417,42526
418,42530
419,42927
420,43284
421,43394
422,43415
423,43454
424,43534
425,43642
426,43705
427,43866
428,43991
429,44934
430,45643
431,46033
432,46678
433,46877
434,46959
435,47028
436,47199
437,47353
438,47732
439,48314
440,49519
441,49688
442,50073
443,50293
444,50985
445,51499
446,52037
447,52165
448,52318
449,52610
450,52612
451,52652
452,52669
453,52720
454,52785
455,52799
456,52801
457,52949
458,53513
459,53624
460,53727
461,53748
462,53814
463,54008
464,54577
465,54680
466,55803
467,55814
468,55887
469,56541
470,56930
471,56936
472,56942
473,57098
474,57173
475,57179
476,57239
477,57260
478,57929
479,58679
480,58744
481,58966
482,59043
483,59480
484,59679
485,60445
486,61241
487,61666
488,61691
489,62765
490,62836
491,63413
492,63603
493,63658
494,63779
495,64095
496,64189
497,64245
498,64246
499,64425
500,64719
501,64761
502,64768
503,64771
504,64808
505,64832
506,64850
507,64975
508,64980
509,64994
510,65361
511,65441
512,65757
513,65836
514,65874
515,66149
516,66331
517,67416
518,67565
519,67566
520,67575
521,67581
522,67582
523,67585
524,67586
525,67587
526,67720
527,67733
528,68512
529,68526
530,68531
531,68546
532,68552
533,68726
534,68730
535,69107
536,69139
537,69261
538,69349
539,70083
540,70189
541,70272
542,70430
543,70749
544,70881
545,71100
546,71349
547,71434
548,71624
549,72106
550,72505
551,72785
552,73048
553,73102
554,73238
555,73586
556,73663
557,73707
558,73913
559,74144
560,74330
561,74507
562,75584
563,75830
564,76264
565,76310
566,76419
567,76845
568,77127
569,77186
570,77197
571,77234
572,77392
573,77396
574,78026
575,78390
576,78562
577,78735
578,78737
579,78802
580,79034
581,79057
582,79377
583,79402
584,79470
585,79526
586,79636
587,79835
588,80194
589,80439
590,80440
591,80449
592,80450
593,80472
594,80493
595,80515
596,80527
597,80573
598,80576
599,80583
600,80584
601,80614
602,80653
603,80661
604,80687
605,80725
606,80735
607,80738
608,80746
609,80752
610,80774
611,80777
612,80781
613,80783
614,80787
615,80802
616,80809
617,80822
618,81051
619,81379
620,81380
621,81436
622,81561
623,81632
624,81647
625,81982
626,82451
627,83122
628,83166
629,83211
630,83245
631,83410
632,83414
633,83415
634,83424
635,83456
636,83533
637,83810
638,83816
639,83913
640,84041
641,84047
642,84483
643,84809
644,84851
645,85061
646,85252
647,85310
648,85527
649,85767
650,85856
651,85969
652,85988
653,86007
654,86051
655,86100
656,86105
657,86129
658,86156
659,86264
660,86295
661,86335
662,86384
663,86454
664,86464
665,86466
666,86629
667,86720
668,86778
669,86959
670,86971
671,87101
672,87129
673,87374
674,87427
675,87429
676,87880
677,88009
678,88013
679,88014
680,88022
681,88023
682,88026
683,88058
684,88359
685,88411
686,88531
687,88724
688,89015
689,89020
690,89425
691,89660
692,89666
693,89813
694,90362
695,91060
696,91432
697,92099
698,92363
699,92677
700,92774
701,92937
702,93020
703,93562
704,93569
705,93613
706,93624
707,93956
708,94116
709,94461
710,94484
711,94510
712,94564
713,94572
714,94596
715,94840
716,94856
717,94908
718,95412
719,95846
720,95867
721,95925
722,95926
723,96089
724,96114
725,96162
726,96416
727,96722
728,97429
729,97695
730,97811
731,98133
732,98136
733,98154
734,98221
735,98441
736,98714
737,99097
738,99281
739,99477
740,100162
741,100209
742,100550
743,100937
744,101308
745,101397
746,101431
747,101436
748,102802
749,103264
750,103265
751,103577
752,103835
753,104303
754,105268
755,105366
756,105370
757,105604
758,105773
759,105897
760,106082
761,106577
762,106620
763,107443
764,107536
765,107636
766,107754
767,108090
768,108206
769,108471
770,109446
771,109798
772,110019
773,110081
774,110102
775,110292
776,110574
777,110595
778,110611
779,110659
780,110672
781,110677
782,111701
783,111769
784,112036
785,113538
786,113553
787,113596
788,113618
789,113621
790,114019
791,114077
792,114639
793,115132
794,115145
795,115382
796,115383
797,115384
798,115385
799,115387
800,115630
801,115639
802,116200
803,116212
804,116469
805,116679
806,116825
807,116881
808,117483
809,117484
810,117486
811,117817
812,117835
813,117855
814,118119
815,118254
816,119763
817,120034
818,120334
819,120424
820,120593
821,120852
822,121245
823,123338
824,123340
825,123392
826,123504
827,123505
828,123777
829,124195
830,124283
831,124289
832,124330
833,124351
834,124407
835,124414
836,124464
837,124848
838,125172
839,125955
840,126108
841,126216
842,126269
843,126274
844,126413
845,126461
846,127072
847,127074
848,127159
849,127378
850,127388
851,127429
852,127853
853,128438
854,128720
855,128754
856,128912
857,129098
858,129337
859,129390
860,129806
861,129980
862,129982
863,130030
864,130526
865,130528
866,130536
867,130642
868,130839
869,131577
870,131704
871,132257
872,132304
873,132427
874,132991
875,133313
876,133315
877,133443
878,133585
879,133587
880,133588
881,133892
882,133976
883,134215
884,134344
885,134345
886,134641
887,134877
888,134882
889,136256
890,136274
891,136276
892,136714
893,136846
894,138373
895,138375
896,138773
897,139143
898,139394
899,139448
900,139473
901,139849
902,139948
903,141577
904,141581
905,141988
906,142042
907,142552
908,143055
909,143175
910,143359
911,143667
912,143726
913,143786
914,144355
915,144548
916,144644
917,144896
918,144902
919,144904
920,144905
921,144915
922,144939
923,144953
924,145111
925,145752
926,145762
927,145811
928,145820
929,145831
930,145972
931,146101
932,146441
933,146447
934,146644
935,146911
936,146960
937,146961
938,147722
939,148174
940,148443
941,148463
942,148781
943,148788
944,149092
945,149193
946,149273
947,149295
948,149444
949,149571
950,149632
951,149713
952,149749
953,149753
954,149754
955,149756
956,149760
957,150085
958,150178
959,150194
960,150489
961,151040
962,151157
963,151162
964,151167
965,151404
966,151511
967,151660
968,151665
969,151825
970,152050
971,152080
972,152123
973,152209
974,152282
975,152407
976,153147
977,153538
978,153862
979,154510
980,154700
981,154806
982,154980
983,155000
984,155401
985,155406
986,155435
987,155733
988,155953
989,156157
990,156158
991,156160
992,156313
993,156360
994,156808
995,157237
996,157283
997,157852
998,157887
999,157927
1000,157937
1001,157953
1002,158186
1003,158213
1004,158215
1005,158228
1006,159173
1007,159407
1008,159584
1009,159587
1010,159840
1011,159877
1012,159880
1013,159949
1014,159968
1015,160015
1016,160446
1017,160749
1018,161412
1019,161433
1020,161492
1021,161522
1022,161630
1023,162353
1024,162408
1025,163275
1026,163321
1027,163361
1028,163912
1029,164178
1030,164186
1031,164190
1032,164194
1033,164222
1034,164230
1035,164255
1036,164273
1037,164286
1038,164287
1039,164312
1040,164318
1041,164327
1042,164370
1043,164380
1044,164392
1045,164400
1046,164431
1047,164467
1048,164489
1049,164507
1050,164510
1051,164521
1052,164528
1053,164539
1054,164781
1055,164880
1056,164883
1057,164956
1058,165061
1059,165064
1060,165112
1061,165125
1062,165174
1063,165191
1064,165198
1065,165311
1066,165317
1067,165324
1068,165329
1069,165342
1070,165404
1071,165429
1072,165443
1073,165465
1074,165470
1075,165576
1076,165646
1077,165810
1078,165860
1079,165982
1080,165998
1081,166037
1082,166063
1083,166066
1084,166148
1085,166201
1086,166208
1087,166262
1088,166360
1089,166425
1090,166429
1091,166449
1092,166453
1093,166461
1094,166500
1095,166569
1096,166596
1097,166631
1098,166669
1099,166670
1100,166747
1101,166788
1102,166842
1103,166849
1104,166852
1105,166861
1106,166873
1107,166917
1108,166921
1109,166933
1110,166966
1111,166970
1112,167018
1113,167190
1114,167217
1115,167285
1116,167384
1117,167415
1118,167436
1119,167463
1120,167481
1121,167611
1122,167674
1123,167693
1124,167710
1125,167768
1126,167789
1127,168192
1128,168207
1129,168223
1130,168237
1131,168295
1132,168331
1133,168366
1134,168433
1135,168439
1136,168573
1137,168605
1138,168673
1139,168679
1140,168758
1141,168814
1142,168815
1143,168879
1144,168893
1145,168923
1146,169063
1147,169136
1148,169138
1149,169140
1150,169411
1151,169423
1152,169473
1153,169488
1154,169763
1155,169847
1156,170019
1157,170097
1158,170317
1159,170392
1160,170401
1161,170487
1162,170506
1163,170652
1164,170705
1165,170708
1166,170895
1167,170966
1168,171008
1169,171029
1170,171030
1171,171074
1172,171081
1173,171227
1174,171302
1175,171654
1176,171913
1177,171916
1178,172441
1179,172453
1180,172487
1181,172727
1182,173008
1183,173017
1184,173067
1185,173077
1186,173085
1187,173114
1188,173246
1189,173638
1190,173648
1191,173662
1192,173841
1193,174189
1194,174194
1195,174195
1196,174198
1197,174212
1198,174221
1199,174292
1200,174510
1201,174546
1202,174731
1203,174749
1204,174792
1205,174951
1206,175022
1207,175035
1208,175091
1209,175206
1210,175239
1211,175371
1212,175372
1213,175381
1214,175509
1215,175557
1216,175558
1217,175701
1218,175703
1219,175873
1220,175901
1221,175998
1222,176106
1223,176220
1224,176537
1225,176538
1226,176586
1227,176658
1228,176732
1229,176788
1230,176810
1231,176822
1232,176843
1233,177233
1234,177416
1235,177427
1236,177495
1237,177566
1238,177638
1239,178061
1240,178241
1241,178341
1242,178378
1243,178560
1244,178573
1245,178652
1246,178850
1247,178988
1248,179235
1249,179268
1250,179940
1251,180196
1252,180594
1253,180610
1254,180732
1255,180784
1256,180796
1257,180810
1258,180813
1259,181059
1260,181392
1261,181445
1262,181570
1263,181572
1264,181656
1265,181707
1266,181711
1267,181806
1268,181812
1269,181926
1270,182592
1271,182618
1272,182691
1273,182795
1274,182961
1275,183137
1276,183179
1277,183552
1278,183603
1279,183668
1280,183701
1281,183882
1282,183930
1283,183953
1284,184048
1285,184219
1286,184342
1287,184371
1288,184387
1289,184406
1290,184565
1291,184724
1292,184771
1293,184774
1294,184787
1295,185027
1296,185156
1297,185163
1298,185337
1299,185348
1300,185356
1301,185992
1302,186248
1303,186280
1304,186431
1305,186634
1306,186893
1307,186988
1308,187529
1309,187577
1310,188104
1311,188418
1312,188519
1313,188521
1314,188537
1315,188593
1316,188986
1317,189112
1318,189381
1319,189872
1320,189911
1321,190016
1322,190186
1323,190305
1324,191054
1325,191241
1326,191384
1327,191463
1328,191853
1329,192088
1330,192159
1331,192168
1332,192194
1333,192330
1334,192345
1335,192407
1336,192543
1337,192568
1338,192981
1339,193089
1340,193147
1341,193290
1342,193300
1343,193307
1344,193389
1345,193396
1346,193409
1347,193440
1348,193627
1349,193734
1350,193995
1351,194000
1352,194004
1353,194396
1354,194553
1355,194887
1356,194923
1357,194964
1358,195041
1359,195052
1360,195515
1361,195522
1362,196481
1363,197577
1364,197620
1365,197963
1366,198351
1367,198440
1368,198478
1369,198525
1370,198677
1371,198686
1372,198736
1373,198872
1374,198983
1375,199281
1376,199390
1377,199593
1378,199747
1379,199847
1380,199982
1381,200232
1382,200262
1383,200331
1384,200385
1385,200399
1386,200505
1387,200632
1388,200679
1389,200689
1390,200690
1391,200699
1392,200706
1393,200777
1394,200858
1395,201392
1396,201502
1397,201590
1398,201619
1399,201735
1400,201925
1401,201956
1402,202138
1403,202255
1404,202256
1405,202332
1406,202842
1407,202844
1408,202915
1409,203191
1410,203529
1411,203550
1412,203919
1413,203925
1414,203931
1415,204125
1416,204197
1417,204240
1418,204264
1419,204334
1420,204336
1421,204348
1422,204699
1423,204781
1424,204820
1425,204868
1426,204924
1427,204927
1428,205156
1429,205159
1430,205160
1431,205173
1432,205174
1433,205194
1434,205626
1435,205646
1436,205672
1437,205718
1438,205842
1439,205850
1440,205860
1441,205902
1442,205905
1443,205996
1444,206138
1445,206508
1446,206798
1447,206805
1448,206974
1449,206993
1450,207019
1451,207516
1452,208051
1453,208072
1454,208430
1455,208663
1456,208781
1457,208785
1458,208952
1459,208960
1460,209260
1461,209721
1462,209723
1463,209724
1464,209761
1465,209767
1466,209981
1467,210013
1468,210066
1469,210083
1470,210318
1471,210324
1472,210326
1473,210327
1474,210378
1475,210380
1476,210392
1477,210396
1478,210839
1479,210901
1480,210931
1481,210980
1482,211015
