,0
0,172356
1,184723
2,21854
3,20705
4,117056
5,92093
6,86295
7,203882
8,57227
9,24126
10,42747
11,56956
12,202722
13,136032
14,84293
15,56951
16,47685
17,21306
18,199615
19,25152
20,124013
21,151282
22,165835
23,152143
24,68558
25,165058
26,21908
27,26919
28,511
29,84864
30,98066
31,63802
32,302
33,86302
34,77207
35,24636
36,73533
37,191087
38,432
39,26145
40,167674
41,83642
42,21432
43,123005
44,25214
45,25278
46,208307
47,191578
48,108320
49,170525
50,63751
51,153589
52,167852
53,86048
54,41596
55,22628
56,167710
57,21427
58,56955
59,133214
60,168515
61,42094
62,181599
63,24511
64,20924
65,30224
66,160824
67,86218
68,92480
69,85526
70,40310
71,193483
72,208708
73,20393
74,40503
75,135874
76,29971
77,20426
78,171634
79,122345
80,509
81,88376
82,27086
83,124336
84,80479
85,167741
86,24676
87,26210
88,80552
89,28849
90,86044
91,20775
92,171758
93,24623
94,20565
95,84719
96,20644
97,82419
98,115369
99,82806
100,20205
101,26269
102,201714
103,40420
104,164401
105,80671
106,114881
107,41930
108,40206
109,28513
110,27089
111,92994
112,187316
113,532
114,193417
115,98529
116,148330
117,148493
118,40535
119,51769
120,42523
121,108250
122,110666
123,163568
124,24622
125,200791
126,124404
127,24497
128,80506
129,114448
130,20627
131,28207
132,155634
133,32510
134,71128
135,141793
136,97811
137,59711
138,26953
139,84144
140,20694
141,25108
142,26530
143,99435
144,236
145,24250
146,376
147,24624
148,145701
149,63127
150,21088
151,176009
152,26155
153,84495
154,40406
155,146449
156,115220
157,69036
158,122807
159,57261
160,40341
161,143682
162,26211
163,40186
164,66477
165,339
166,26209
167,103429
168,705
169,30209
170,243809
171,103210
172,70085
173,159404
174,166120
175,122499
176,130544
177,212843
178,159205
179,58423
180,171049
181,105776
182,67975
183,130568
184,159209
185,70221
186,86691
187,101428
188,59660
189,36842
190,189136
191,100914
192,89576
193,110668
194,208860
195,80813
196,70189
197,145002
198,97116
199,86719
200,21887
201,329
202,40156
203,25474
204,124651
205,167411
206,57432
207,163644
208,197767
209,40382
210,172648
211,68531
212,22412
213,114421
214,41929
215,20564
216,176042
217,193
218,80614
219,240
220,84658
221,129972
222,424
223,113816
224,20708
225,31077
226,40195
227,26030
228,218115
229,20827
230,24515
231,39482
232,26289
233,40246
